path_number	feature_type	feature	feature_id	coordinate	column_order	cell_type	primer	raw_value
1	path	P1	P1:path		0	ASC	poly(dT)	0.17717650867366017
1	path	P1	P1:path		0	EX_cerebellum_granule	poly(dT)	0.1965742961943783
1	path	P1	P1:path		0	EX_cortical	poly(dT)	0.12983120847680857
1	path	P1	P1:path		0	INH_medium_spiny	poly(dT)	0.15309879056804157
1	path	P1	P1:path		0	INH_midbrain	poly(dT)	0.1473921031229967
1	path	P1	P1:path		0	INH_migrating_interneuron	poly(dT)	0.14623630324164513
1	exon	E1	P1:E1	chr11:69909270-69909775	1	ASC	poly(dT)	0.2680675015674873
1	exon	E1	P1:E1	chr11:69909270-69909775	1	EX_cerebellum_granule	poly(dT)	0.261492734181872
1	exon	E1	P1:E1	chr11:69909270-69909775	1	EX_cortical	poly(dT)	0.29455115938347415
1	exon	E1	P1:E1	chr11:69909270-69909775	1	INH_medium_spiny	poly(dT)	0.2850424897275433
1	exon	E1	P1:E1	chr11:69909270-69909775	1	INH_midbrain	poly(dT)	0.3077309132515082
1	exon	E1	P1:E1	chr11:69909270-69909775	1	INH_migrating_interneuron	poly(dT)	0.16613476847708322
1	junction	J1	P1:J1	chr11:69909776-69917749	2	ASC	poly(dT)	0.9490445859872612
1	junction	J1	P1:J1	chr11:69909776-69917749	2	EX_cerebellum_granule	poly(dT)	0.9310344827586207
1	junction	J1	P1:J1	chr11:69909776-69917749	2	EX_cortical	poly(dT)	0.9284552845528455
1	junction	J1	P1:J1	chr11:69909776-69917749	2	INH_medium_spiny	poly(dT)	0.9166666666666666
1	junction	J1	P1:J1	chr11:69909776-69917749	2	INH_midbrain	poly(dT)	0.9401709401709402
1	junction	J1	P1:J1	chr11:69909776-69917749	2	INH_migrating_interneuron	poly(dT)	0.9096045197740112
1	exon	E4	P1:E4	chr11:69917749-69917814	3	ASC	poly(dT)	1.0
1	exon	E4	P1:E4	chr11:69917749-69917814	3	EX_cerebellum_granule	poly(dT)	1.0
1	exon	E4	P1:E4	chr11:69917749-69917814	3	EX_cortical	poly(dT)	1.0
1	exon	E4	P1:E4	chr11:69917749-69917814	3	INH_medium_spiny	poly(dT)	1.0
1	exon	E4	P1:E4	chr11:69917749-69917814	3	INH_midbrain	poly(dT)	1.0
1	exon	E4	P1:E4	chr11:69917749-69917814	3	INH_migrating_interneuron	poly(dT)	1.0
1	junction	J3	P1:J3	chr11:69917815-69921225	4	ASC	poly(dT)	0.9032258064516129
1	junction	J3	P1:J3	chr11:69917815-69921225	4	EX_cerebellum_granule	poly(dT)	0.898876404494382
1	junction	J3	P1:J3	chr11:69917815-69921225	4	EX_cortical	poly(dT)	0.8711656441717791
