Name Chr Start End INHmediumspiny_polydT_0 INHmediumspiny_randomhexamer_0 INHmidbrain_polydT_0 INHmidbrain_randomhexamer_0
chr2:25181355-25183669 chr2 25181355 25183669 0.6182380216383307 0.0 0.0 0.0
chr2:25181835-25181862 chr2 25181835 25181862 0.0 0.3091190108191654 0.0 0.0
chr2:25181852-25182413 chr2 25181852 25182413 0.0 0.0 0.0 0.3091190108191654
chr2:25181880-25181958 chr2 25181880 25181958 0.0 0.6182380216383307 0.0 0.0
chr2:25181958-25182105 chr2 25181958 25182105 0.0 0.0 0.0 0.6182380216383307
chr2:25182141-25184450 chr2 25182141 25184450 0.0 1.8547140649149925 0.0 2.472952086553323
chr2:25182141-25185804 chr2 25182141 25185804 0.0 9.582689335394125 0.9273570324574961 40.185471406491494
chr2:25182377-25182413 chr2 25182377 25182413 0.0 0.3091190108191654 0.0 0.3091190108191654
chr2:25182497-25184450 chr2 25182497 25184450 28.748068006182383 24.72952086553324 1.8547140649149925 4.63678516228748
chr2:25182497-25185804 chr2 25182497 25185804 3.709428129829985 7.418856259659969 8.964451313755795 11.437403400309117
chr2:25182663-25182710 chr2 25182663 25182710 0.0 0.0 0.3091190108191654 0.0
chr2:25182808-25183714 chr2 25182808 25183714 0.0 0.0 0.0 0.3091190108191654
chr2:25182936-25183033 chr2 25182936 25183033 0.0 0.0 0.3091190108191654 0.0
chr2:25184561-25185497 chr2 25184561 25185497 0.3091190108191654 0.0 0.0 0.0
chr2:25184561-25185804 chr2 25184561 25185804 127.97527047913445 54.40494590417313 20.092735703245758 20.092735703245758
chr2:25184561-25185808 chr2 25184561 25185808 0.0 0.3091190108191654 0.0 0.0
chr2:25184754-25185620 chr2 25184754 25185620 0.0 0.0 0.3091190108191654 0.0
chr2:25184814-25185146 chr2 25184814 25185146 0.0 0.0 0.0 0.3091190108191654
chr2:25185816-25185913 chr2 25185816 25185913 0.6182380216383307 0.0 0.0 0.0
