Name Chr Start End EXcortical_polydT_0 EXcortical_randomhexamer_0 EXhippocampuspyramidal_polydT_0 EXhippocampuspyramidal_randomhexamer_0
chr16:84752309-84759718 chr16 84752309 84759718 0.0 0.08380824673147838 0.0 0.0
chr16:84752321-84759610 chr16 84752321 84759610 53.63727790814617 128.4780422393564 49.58677685950412 127.06611570247937
chr16:84759623-84762565 chr16 84759623 84762565 0.0 0.08380824673147838 0.0 0.0
chr16:84759648-84762628 chr16 84759648 84762628 0.0 0.16761649346295676 0.0 0.0
chr16:84759757-84762558 chr16 84759757 84762558 28.99765336909153 57.24103251759975 39.256198347107436 48.55371900826445
chr16:84762617-84774952 chr16 84762617 84774952 0.0 0.08380824673147838 0.0 0.0
chr16:84762651-84768341 chr16 84762651 84768341 0.16761649346295676 0.0 0.0 0.0
chr16:84762659-84768296 chr16 84762659 84768296 21.035869929601084 42.90982232651695 27.89256198347107 39.25619834710743
chr16:84762659-84774952 chr16 84762659 84774952 0.4190412336573919 0.4190412336573919 0.0 2.0661157024793386
chr16:84763629-84766271 chr16 84763629 84766271 0.0 0.0 2.0661157024793386 0.0
chr16:84768350-84774952 chr16 84768350 84774952 29.165269862554485 77.94166946027491 27.89256198347107 79.54545454545456
chr16:84768395-84774952 chr16 84768395 84774952 0.0 0.16761649346295676 0.0 0.0
chr16:84770265-84771336 chr16 84770265 84771336 0.0 0.08380824673147838 0.0 0.0
chr16:84771920-84772479 chr16 84771920 84772479 0.08380824673147838 0.0 0.0 0.0
chr16:84771930-84774650 chr16 84771930 84774650 0.08380824673147838 0.0 0.0 0.0
chr16:84771932-84774650 chr16 84771932 84774650 0.16761649346295676 0.0 0.0 0.0
chr16:84774022-84774165 chr16 84774022 84774165 0.08380824673147838 0.0 0.0 0.0
chr16:84775174-84810515 chr16 84775174 84810515 40.31176667784111 61.26382836071067 44.42148760330578 86.77685950413226
chr16:84775192-84804375 chr16 84775192 84804375 0.0 0.2514247401944351 0.0 0.0
chr16:84786810-84791413 chr16 84786810 84791413 0.08380824673147838 0.0 0.0 0.0
chr16:84789221-84790524 chr16 84789221 84790524 0.08380824673147838 0.0 0.0 0.0
chr16:84797838-84797887 chr16 84797838 84797887 0.0 0.0 2.0661157024793386 0.0
chr16:84797970-84810592 chr16 84797970 84810592 0.5028494803888702 0.9218907140462621 0.0 3.099173553719008
chr16:84799169-84799243 chr16 84799169 84799243 0.0 0.08380824673147838 0.0 0.0
chr16:84800396-84801948 chr16 84800396 84801948 0.0 0.16761649346295676 0.0 0.0
